,HHID,ame,afe,pc,va.supply,va.cergra,va.tubers,va.nuts,va.veg,va.meat,va.fruit,va.dairy,va.fat,va.misc,va.vendor,va.bev,ai.ame,ame.inad,ai.afe,afe.inad,energy.supply,den,den.inad,ame.p.n,ame.p,intdate,intmonth
1,0001c970eecf473099368557e2080b3e,2.41,3.03,3,162.1799714,0,0,5.017142857,134.1185429,7.165714286,8.61,0,0,0,7.268571429,0,67.29459395,Inadequate,53.52474305,Inadequate,3613.919171,44.87648,Inadequate,862,6.925363541,30/03/2017,01/03/2017
2,000509f5cfcc4b078a09672b09425e95,3.99,5.06,5,2316.344538,185.1428571,17.6328,0.702857143,1887.608086,59.29737143,27.2319956,135.4285714,0,3.3,0,0,580.5374783,Adequate,457.7756005,Inadequate,12182.75541,190.1330578,Inadequate,8788,70.60335824,15/04/2016,01/04/2016
3,000bc107780044e59327dbf7ec960ac1,3.86,4.87,5,157.0459714,0,0,0,142.6325429,10.66057143,0,0,0,0,3.752857143,0,40.68548483,Inadequate,32.24763274,Inadequate,6642.305914,23.64329097,Inadequate,318,2.55483249,20/05/2016,01/05/2016
4,000d1d26325d4f73a2ffbb8a99ab4752,4.59,5.8,5,608.8107857,0,0,0,589.0107857,19.8,0,0,0,0,0,0,132.6385154,Inadequate,104.9673768,Inadequate,8648.684986,70.39345134,Inadequate,2404,19.3138909,10/03/2017,01/03/2017
5,00104e33315844fdb2b8c6fdd35912a1,5.48,6.93,7,2011.543143,0,0,57.14285714,1920.460286,3.582857143,30.35714286,0,0,0,0,0,367.0699166,Inadequate,290.2659658,Inadequate,16796.80086,119.7575157,Inadequate,6737,54.12549209,07/07/2016,01/07/2016
6,002afb9ae01c46838ef6303cc99e0287,2.27,2.87,3,422.6980571,20.29714286,0,5.714285714,300.4550857,24.97611429,2.781142857,65.8,0,0,2.674285714,0,186.2105979,Inadequate,147.281553,Inadequate,5245.5162,80.5827379,Inadequate,3630,29.16365389,07/02/2017,01/02/2017
7,002cfe4fca224667bc394b1289950352,2.52,3.18,3,4079.084314,142.7657143,2219.701371,12.85714286,1635.613514,59.89914286,1.176,0,0,7.071428571,0,0,1618.684252,Adequate,1282.730916,Adequate,12241.38231,333.2208904,Adequate,11741,94.32795051,10/04/2017,01/04/2017
8,0043da6163794617b4eacbfcf1585c6a,5.78,7.31,6,1028.9996,0,0,0,556.1996,24.64925714,343.1736,79.95714286,0,0,25.02,0,178.0276125,Inadequate,140.7660192,Inadequate,9945.227286,103.4666751,Inadequate,3451,27.72555636,16/12/2016,01/12/2016
9,004460497c3042b48ee79c0e7156c3b6,6.78,8.57,8,3282.088929,0,26.3568,2.857142857,3136.189214,105.0377143,11.64805714,0,0,0,0,0,484.0839128,Inadequate,382.974204,Inadequate,17276.72746,189.9716793,Inadequate,8002,64.28858359,27/04/2017,01/04/2017
10,004e377d40dd4ca3862ce695e9a5d380,5.14,6.5,6,19112.03071,80.71428571,15733.4908,17.14285714,3198.0534,21.77142857,57.22365714,0,0,0,3.634285714,0,3718.293913,Adequate,2940.312418,Adequate,11544.3576,1655.530033,Adequate,12375,99.42154736,19/06/2016,01/06/2016
11,00563ecb9e434e93a3eda7a05399315a,6.13,7.74,7,1716.619614,214.1485714,0,0,1401.160529,28.37142857,37.58194286,31.42857143,0,3.928571429,0,0,280.0358261,Inadequate,221.7854799,Inadequate,33484.87927,51.26551601,Inadequate,5472,43.96240058,22/03/2017,01/03/2017
12,0058e6cc57384df88c7688e59887bde8,2.71,3.41,3,932.5890857,0,6.735142857,0,909.0162286,4.224,3.528,0,0,0,9.085714286,0,344.1288139,Inadequate,273.4865354,Inadequate,7454.136257,125.1102815,Inadequate,6440,51.73937495,12/05/2016,01/05/2016
13,005a080696c24af3888cd402b989b9ce,1.7,2.14,2,365.3831714,0,1.206,0,356.6000286,7.577142857,0,0,0,0,0,0,214.9312773,Inadequate,170.7397997,Inadequate,3632.1182,100.5978196,Inadequate,4228,33.96802442,04/03/2017,01/03/2017
14,005c5a2a2ff843ffa0a99c1bfeecf94b,5.01,6.34,6,2361.540229,27.06285714,11.38502857,0,2231.266714,82.6482,5.166,0,0,0,4.011428571,0,471.3653151,Inadequate,372.4826859,Inadequate,12194.10637,193.6624265,Inadequate,7905,63.50927934,04/04/2017,01/04/2017
15,00667697be5140f5902e55150ea2537a,5.57,7.05,7,3155.094657,36.57142857,0,0,3073.9518,26.4,0,0,0,0,18.17142857,0,566.4442831,Inadequate,447.531157,Inadequate,10830.12089,291.3258947,Adequate,8710,69.97670121,12/04/2017,01/04/2017
16,0069b8192bf84ab0896849db7c44a140,2.41,3.05,3,596.0871,0,0,0,449.1858571,43.47631429,95.43921429,0,0,1.414285714,6.571428571,0,247.3390456,Inadequate,195.4383934,Inadequate,6653.418,89.59110941,Inadequate,4857,39.02145095,28/09/2016,01/09/2016
17,006a0e5f89d644e88ac87580bedccf7b,2.88,3.65,4,2602.454457,0,1260.338914,0,1318.932686,17.73142857,0,0,0,0,5.451428571,0,903.6300198,Adequate,713.0012211,Adequate,16504.68283,157.6797618,Inadequate,10428,83.77922391,23/05/2016,01/05/2016
